Funding_Agency_Country_Code,Funding_Agency_Country_Name
1814991,China
1605651,Thailand
2750405,The Netherlands
6252001,United States
3469034,Brazil
2921044,Germany
3686110,Colombia
289688,Qatar
174982,Armenia
2658434,Switzerland
3996063,Mexico
298795,TÃ¼rkiye
798544,Poland
2635167,United Kingdom
1269750,India
1880251,Singapore
2963597,Ireland
146669,Cyprus
3077311,Czechia
1668284,Taiwan
2264397,Portugal
2017370,Russia
453733,Estonia
660013,Finland
2782113,Austria
2802361,Belgium
2510769,Spain
2186224,New Zealand
719819,Hungary
1835841,South Korea
3175395,Italy
3658394,Ecuador
1733045,Malaysia
6290252,Serbia
690791,Ukraine
3017382,France
732800,Bulgaria
130758,Iran
1168579,Pakistan
1861060,Japan
953987,South Africa
390903,Greece
3202326,Croatia
597427,Lithuania
6251999,Canada
2077456,Australia
2623032,Denmark
294640,Israel
3895114,Chile
3865483,Argentina
3190538,Slovenia
614540,Georgia
2542007,Morocco
2661886,Sweden
1562822,Vietnam
1227603,Sri Lanka
3144096,Norway
337996,Ethiopia
1821275,Macao
1694008,Philippines
1819730,Hong Kong
3932488,Peru
290557,United Arab Emirates
2464461,Tunisia
357994,Egypt
1522867,Kazakhstan
3439705,Uruguay
99237,Iraq
617790,Moldova
3595528,Guatemala
3042058,Liechtenstein
1643084,Indonesia
2629691,Iceland
102358,Saudi Arabia
3057568,Slovakia
2960313,Luxembourg
1252634,Bhutan
272103,Lebanon
226074,Uganda
798549,Romania
3489940,Jamaica
3437598,Paraguay
3703430,Panama
1327865,Myanmar
587116,Azerbaijan
458258,Latvia
1820814,Brunei
286963,Oman
2328926,Nigeria
783754,Albania
192950,Kenya
3624060,Costa Rica
2589581,Algeria
3508796,Dominican Republic
2233387,Cameroon
1282988,Nepal
1655842,Laos
2215636,Libya
3355338,Namibia
895949,Zambia
